drug,smiles,BBB_score,MW,LogP,TPSA,HBD,HBA
Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],5.0,277.26900000000006,1.1458,115.42000000000002,1.0,7.0
Darbepoetin alfa,,,,,,,
Doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,1.0,543.5250000000003,0.0012999999999995793,206.07,6.0,12.0
Erythropoietin,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CCO)C)OC4CC(C(C(O4)C)O)(C)O,1.0,848.0370000000001,0.9101000000000068,235.75999999999996,7.0,17.0
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,7.0,272.388,3.6092000000000026,40.46,2.0,2.0
Futibatinib,COC1=CC(=CC(=C1)C#CC2=NN(C3=NC=NC(=C23)N)C4CCN(C4)C(=O)C=C)OC,5.0,418.4570000000003,1.7849000000000004,108.39,1.0,7.0
Infigratinib,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl,1.0,560.4860000000003,5.3544000000000045,95.09,2.0,8.0
Methoxy polyethylene glycol-epoetin beta,,,,,,,
Moxetumomab pasudotox,,,,,,,
Pemigatinib,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5,5.0,487.5070000000003,3.657000000000002,83.16000000000001,1.0,6.0
Selpercatinib,CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O,3.0,525.6130000000004,3.284380000000002,112.04,1.0,9.0
AT9283,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,4.0,381.4400000000003,2.0690999999999997,110.96000000000001,4.0,5.0
Alisertib,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,2.0,518.9320000000002,5.746100000000004,105.93,2.0,7.0
CYC116,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4,6.0,368.46600000000024,3.070920000000001,89.19,2.0,8.0
Darolutamide,CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,5.0,398.8540000000001,2.670080000000001,119.62000000000002,3.0,5.0
MK-5108,C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O,4.0,461.9460000000001,5.709300000000004,84.34,2.0,6.0
MLN8054,C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)F)NC5=CC=C(C=C5)C(=O)O,4.0,476.8700000000001,5.868000000000004,87.47000000000001,2.0,5.0
